,age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,hours_per_week,native_country,actual_income,predicted_income
12491,45, Private,151627, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,45, United-States, <=50K, <=50K
15863,57, Self-emp-not-inc,24473, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, >50K, <=50K
2823,18, Local-gov,36411, 12th,8, Never-married, Prof-specialty, Own-child, White, Male,30, United-States, <=50K, <=50K
26308,19, Private,162094, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,40, United-States, <=50K, <=50K
8312,54, State-gov,123592, HS-grad,9, Separated, Adm-clerical, Unmarried, Black, Female,35, United-States, <=50K, <=50K
8018,34, Private,112584, 10th,6, Divorced, Other-service, Unmarried, White, Female,38, United-States, <=50K, <=50K
21786,44, Self-emp-not-inc,71269, Bachelors,13, Divorced, Exec-managerial, Not-in-family, White, Male,40, United-States, <=50K, <=50K
3215,32, Private,194740, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,55, Greece, <=50K, <=50K
31724,39, Private,42044, 11th,7, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States, <=50K, <=50K
16453,22, Private,199419, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,40, United-States, <=50K, <=50K
15513,24, Private,326587, Some-college,10, Never-married, Sales, Not-in-family, White, Male,40, United-States, <=50K, <=50K
3123,42, Private,54102, Assoc-voc,11, Divorced, Adm-clerical, Unmarried, White, Female,40, United-States, <=50K, <=50K
25922,19, Private,574271, Some-college,10, Never-married, Sales, Own-child, White, Male,35, United-States, <=50K, <=50K
9614,60, Private,128367, Some-college,10, Divorced, Prof-specialty, Unmarried, White, Male,42, United-States, <=50K, <=50K
12114,56, Private,205735, 1st-4th,2, Separated, Machine-op-inspct, Unmarried, White, Male,40, United-States, <=50K, <=50K
29211,24, Private,200593, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,50, United-States, <=50K, <=50K
28659,33, Private,263561, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,60, United-States, >50K, <=50K
25600,20, Private,266467, HS-grad,9, Never-married, Other-service, Own-child, White, Male,25, United-States, <=50K, <=50K
12048,70, State-gov,345339, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,40, United-States, <=50K, <=50K
1854,29, Self-emp-not-inc,229842, HS-grad,9, Never-married, Transport-moving, Unmarried, Black, Male,45, United-States, <=50K, <=50K
11209,33, Private,202046, Bachelors,13, Never-married, Handlers-cleaners, Not-in-family, White, Male,40, United-States, <=50K, <=50K
19858,32, Private,156464, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K, <=50K
9605,40, Private,103474, HS-grad,9, Married-civ-spouse, Sales, Wife, White, Female,30, United-States, <=50K, <=50K
2755,24, Private,211345, Some-college,10, Never-married, Other-service, Own-child, White, Female,40, Mexico, <=50K, <=50K
18359,74, Self-emp-not-inc,192413, Prof-school,15, Divorced, Prof-specialty, Other-relative, White, Male,40, United-States, <=50K, <=50K
4565,55, Private,80445, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K, >50K
993,47, Private,192835, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,50, United-States, >50K, <=50K
30775,40, Local-gov,321187, Bachelors,13, Never-married, Prof-specialty, Unmarried, White, Female,45, United-States, <=50K, <=50K
13950,48, Federal-gov,188081, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, >50K, >50K
8330,58, Private,316849, Some-college,10, Divorced, Other-service, Not-in-family, White, Male,40, United-States, <=50K, <=50K
10700,50, State-gov,173020, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K, <=50K
15119,41, Private,274363, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,42, United-States, >50K, <=50K
11891,32, Private,194901, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, <=50K, <=50K
390,35, Private,220098, HS-grad,9, Married-civ-spouse, Other-service, Wife, White, Female,40, United-States, >50K, <=50K
32379,42, Private,288154, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,89, United-States, >50K, <=50K
25494,62, Private,213321, HS-grad,9, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, >50K, <=50K
17611,25, Private,108301, HS-grad,9, Separated, Other-service, Unmarried, White, Female,20, United-States, <=50K, <=50K
2275,23, Private,196827, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K, <=50K
22792,53, Private,172991, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,25, United-States, <=50K, >50K
26547,43, Private,240504, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States, <=50K, <=50K
32188,18, Private,180039, 12th,8, Never-married, Sales, Own-child, White, Female,20, United-States, <=50K, <=50K
13932,36, Federal-gov,44364, HS-grad,9, Never-married, Adm-clerical, Own-child, Black, Female,36, United-States, <=50K, <=50K
17411,35, Private,224889, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, <=50K, >50K
9641,18, Private,238401, Some-college,10, Never-married, Sales, Own-child, White, Female,25, United-States, <=50K, <=50K
10722,48, Private,112906, Masters,14, Married-civ-spouse, Transport-moving, Husband, White, Male,55, United-States, >50K, >50K
31631,25, Private,189656, Bachelors,13, Never-married, Tech-support, Not-in-family, White, Male,60, United-States, >50K, <=50K
18993,47, Private,323798, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,55, United-States, >50K, >50K
26708,56, Self-emp-not-inc,48102, Some-college,10, Married-civ-spouse, Exec-managerial, Wife, White, Female,50, United-States, >50K, <=50K
15550,45, Private,189792, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, >50K, >50K
15109,35, Private,257042, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States, <=50K, >50K
20727,42, Private,172297, Masters,14, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, >50K, >50K
7332,38, Private,174571, 10th,6, Married-civ-spouse, Craft-repair, Husband, Black, Male,45, United-States, <=50K, <=50K
20925,29, Private,262208, Some-college,10, Never-married, Other-service, Not-in-family, Black, Female,30, Jamaica, <=50K, <=50K
5739,46, Private,256522, 1st-4th,2, Never-married, Machine-op-inspct, Own-child, White, Male,40, Puerto-Rico, <=50K, <=50K
2728,19, Private,87653, Some-college,10, Never-married, Other-service, Own-child, White, Female,25, United-States, <=50K, <=50K
25825,46, Private,321327, Some-college,10, Married-civ-spouse, Transport-moving, Husband, White, Male,45, United-States, >50K, <=50K
31430,55, Local-gov,143949, Masters,14, Married-civ-spouse, Prof-specialty, Wife, White, Female,45, United-States, >50K, >50K
14869,29, Private,221977, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,40, United-States, >50K, >50K
18292,26, Private,179569, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K, <=50K
29208,23, Self-emp-inc,201682, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,35, United-States, <=50K, <=50K
14515,18, Private,79443, 9th,5, Never-married, Machine-op-inspct, Own-child, White, Male,40, Mexico, <=50K, <=50K
28976,40, Federal-gov,178866, HS-grad,9, Married-civ-spouse, Adm-clerical, Wife, White, Female,20, United-States, >50K, >50K
22796,33, Private,134886, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,30, United-States, >50K, <=50K
32200,31, Private,181372, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,35, United-States, <=50K, <=50K
4799,59, Local-gov,161944, Bachelors,13, Never-married, Adm-clerical, Not-in-family, White, Male,38, United-States, <=50K, <=50K
4221,35, Private,169638, Some-college,10, Divorced, Sales, Unmarried, White, Female,36, United-States, <=50K, <=50K
16458,67, Local-gov,176931, 7th-8th,4, Widowed, Other-service, Not-in-family, White, Female,20, United-States, <=50K, <=50K
11213,66, Private,116468, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,20, United-States, <=50K, >50K
6682,30, Self-emp-not-inc,281030, HS-grad,9, Never-married, Sales, Unmarried, White, Male,66, United-States, <=50K, <=50K
16760,35, Private,210150, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,40, United-States, <=50K, <=50K
247,32, Private,183916, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,34, United-States, <=50K, <=50K
2584,57, Private,348430, 1st-4th,2, Divorced, Craft-repair, Unmarried, White, Male,40, Portugal, <=50K, <=50K
19685,45, Private,51744, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Female,42, United-States, <=50K, <=50K
1751,38, Private,304651, HS-grad,9, Divorced, Transport-moving, Not-in-family, White, Male,60, United-States, <=50K, <=50K
26480,25, Private,193051, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,35, United-States, <=50K, >50K
22210,45, Private,172960, Some-college,10, Divorced, Protective-serv, Not-in-family, White, Male,70, United-States, <=50K, <=50K
30072,60, Private,250552, HS-grad,9, Married-civ-spouse, Other-service, Husband, White, Male,40, United-States, >50K, <=50K
24230,32, Local-gov,186784, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,45, United-States, <=50K, >50K
30292,26,ffill,264300, Some-college,10, Married-civ-spouse,ffill, Wife, White, Female,20, United-States, <=50K, <=50K
2780,59, Private,90290, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,34, United-States, <=50K, >50K
32147,41, Private,151736, 10th,6, Never-married, Machine-op-inspct, Not-in-family, White, Male,40, United-States, <=50K, <=50K
22197,26, Private,200681, HS-grad,9, Never-married, Machine-op-inspct, Own-child, White, Male,40, United-States, <=50K, <=50K
24000,58,ffill,353244, Bachelors,13, Widowed,ffill, Unmarried, White, Female,50, United-States, >50K, <=50K
3991,19, State-gov,73009, Some-college,10, Never-married, Adm-clerical, Own-child, White, Male,15, United-States, <=50K, <=50K
20897,59, Private,144071, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, >50K, <=50K
7010,28, Private,259840, Bachelors,13, Married-civ-spouse, Sales, Husband, White, Male,60, United-States, >50K, >50K
18633,59, Private,32552, Bachelors,13, Married-civ-spouse, Craft-repair, Husband, White, Male,4, United-States, <=50K, >50K
23502,28, Private,77009, 7th-8th,4, Divorced, Other-service, Unmarried, White, Female,50, United-States, <=50K, <=50K
10216,54, Private,135803, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, Asian-Pac-Islander, Male,60, South, >50K, >50K
1397,54, Self-emp-not-inc,114758, Masters,14, Married-civ-spouse, Sales, Husband, White, Male,50, United-States, <=50K, >50K
1853,28, Private,236861, Bachelors,13, Divorced, Craft-repair, Unmarried, White, Male,50, United-States, <=50K, <=50K
21793,25, Private,570821, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,40, United-States, <=50K, <=50K
22832,42, Private,173704, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,50, United-States, >50K, >50K
26595,62, State-gov,199198, Assoc-voc,11, Widowed, Exec-managerial, Unmarried, Black, Female,40, United-States, <=50K, <=50K
26949,17, Private,120068, 11th,7, Never-married, Handlers-cleaners, Own-child, White, Male,17, United-States, <=50K, <=50K
19,43, Self-emp-not-inc,292175, Masters,14, Divorced, Exec-managerial, Unmarried, White, Female,45, United-States, >50K, >50K
9313,47, Private,161558, 10th,6, Married-spouse-absent, Transport-moving, Not-in-family, Black, Male,45, United-States, <=50K, <=50K
17515,26, Private,292303, HS-grad,9, Never-married, Handlers-cleaners, Own-child, White, Female,40, United-States, <=50K, <=50K
3952,30, Private,173005, Some-college,10, Married-civ-spouse, Tech-support, Husband, White, Male,50, United-States, >50K, >50K
21250,28, Private,46868, Masters,14, Never-married, Tech-support, Not-in-family, White, Female,40, United-States, <=50K, <=50K
22343,19, Private,69182, Some-college,10, Never-married, Other-service, Own-child, White, Female,27, United-States, <=50K, <=50K
16552,36, Private,410034, Assoc-acdm,12, Married-civ-spouse, Craft-repair, Husband, White, Male,45, United-States, <=50K, <=50K
27001,65,ffill,143732, HS-grad,9, Widowed,ffill, Not-in-family, Black, Female,40, United-States, <=50K, <=50K
5467,19, Private,218956, HS-grad,9, Never-married, Prof-specialty, Own-child, White, Male,40, United-States, <=50K, <=50K
31967,22, Federal-gov,57216, Some-college,10, Never-married, Adm-clerical, Own-child, Black, Male,20, United-States, <=50K, <=50K
9301,20, Federal-gov,119156, HS-grad,9, Never-married, Adm-clerical, Other-relative, White, Male,20, United-States, <=50K, <=50K
23621,70,ffill,148065, Some-college,10, Married-civ-spouse,ffill, Husband, White, Male,4, United-States, >50K, <=50K
9608,19, Private,232368, Some-college,10, Never-married, Other-service, Own-child, White, Female,35, United-States, <=50K, <=50K
9687,26, Private,247455, Bachelors,13, Married-civ-spouse, Sales, Wife, White, Female,42, United-States, >50K, >50K
27662,24, Private,202959, Assoc-voc,11, Never-married, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K, <=50K
31153,19, Private,124265, HS-grad,9, Never-married, Sales, Own-child, White, Male,50, United-States, <=50K, <=50K
4805,51, Federal-gov,282680, Doctorate,16, Never-married, Prof-specialty, Not-in-family, White, Female,70, United-States, >50K, >50K
20724,24, Private,97212, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Wife, White, Female,40, United-States, <=50K, <=50K
21661,55, Private,76860, HS-grad,9, Married-civ-spouse, Other-service, Other-relative, Asian-Pac-Islander, Male,40, Philippines, <=50K, <=50K
29957,27, State-gov,291196, Bachelors,13, Never-married, Prof-specialty, Not-in-family, Black, Male,40, United-States, <=50K, <=50K
31682,45, Private,330087, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K, <=50K
25101,29, Private,275110, Some-college,10, Separated, Handlers-cleaners, Not-in-family, Black, Male,42, United-States, <=50K, <=50K
15294,54, Private,192862, HS-grad,9, Divorced, Exec-managerial, Unmarried, White, Female,45, United-States, <=50K, <=50K
32064,29, Self-emp-not-inc,241431, HS-grad,9, Never-married, Craft-repair, Not-in-family, White, Male,45, United-States, <=50K, <=50K
13996,42, Private,325353, Assoc-acdm,12, Married-civ-spouse, Adm-clerical, Husband, White, Male,42, United-States, >50K, <=50K
7197,48, Private,20296, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,37, United-States, >50K, <=50K
13412,18, Private,270502, 11th,7, Never-married, Exec-managerial, Own-child, White, Female,20, United-States, <=50K, <=50K
23652,23, Private,143062, HS-grad,9, Never-married, Sales, Own-child, White, Male,40, United-States, <=50K, <=50K
13319,33, Private,388741, Some-college,10, Never-married, Adm-clerical, Unmarried, Other, Female,38, United-States, <=50K, <=50K
5882,42, Self-emp-inc,184018, HS-grad,9, Divorced, Sales, Unmarried, White, Male,50, United-States, <=50K, <=50K
6647,34, Private,506858, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,32, United-States, >50K, <=50K
31596,42, Private,24982, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, >50K, <=50K
5056,26, State-gov,58039, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,40, United-States, <=50K, <=50K
14440,34, Private,345360, Bachelors,13, Married-civ-spouse, Tech-support, Husband, White, Male,40, England, <=50K, >50K
26113,46, Local-gov,200947, Bachelors,13, Married-civ-spouse, Protective-serv, Husband, White, Male,40, United-States, >50K, >50K
10447,45, Local-gov,326064, Some-college,10, Divorced, Adm-clerical, Unmarried, Black, Female,35, United-States, <=50K, <=50K
10671,37, Private,188576, Doctorate,16, Married-civ-spouse, Prof-specialty, Husband, Asian-Pac-Islander, Male,40,ffill, <=50K, >50K
24836,23, Private,173679, Some-college,10, Never-married, Handlers-cleaners, Not-in-family, White, Male,40, United-States, <=50K, <=50K
30785,28, Private,715938, Bachelors,13, Never-married, Craft-repair, Own-child, Black, Male,40, United-States, <=50K, <=50K
30205,25, Private,252752, Some-college,10, Never-married, Transport-moving, Not-in-family, White, Female,45, United-States, <=50K, <=50K
27665,24, Private,1085515, HS-grad,9, Never-married, Other-service, Not-in-family, White, Female,30, United-States, <=50K, <=50K
7889,24, Private,39827, Some-college,10, Married-civ-spouse, Machine-op-inspct, Wife, Other, Female,40, Puerto-Rico, <=50K, <=50K
31193,49, Private,452402, Some-college,10, Separated, Exec-managerial, Unmarried, Black, Female,60, United-States, <=50K, <=50K
29794,32, Private,48520, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K, <=50K
25940,32, Private,27207, 10th,6, Never-married, Craft-repair, Not-in-family, White, Male,50, United-States, <=50K, <=50K
19630,47, Federal-gov,229646, HS-grad,9, Married-spouse-absent, Adm-clerical, Not-in-family, Black, Female,40, Puerto-Rico, <=50K, <=50K
24426,25, Self-emp-not-inc,368115, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,35, United-States, >50K, <=50K
21884,34, Private,104293, Bachelors,13, Never-married, Adm-clerical, Own-child, White, Female,40, United-States, <=50K, <=50K
31071,45, State-gov,144351, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, >50K, >50K
2513,47,ffill,174525, HS-grad,9, Married-civ-spouse,ffill, Husband, White, Male,40,ffill, <=50K, <=50K
28235,31, Private,62932, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,40, United-States, <=50K, <=50K
6938,21, Private,129699, HS-grad,9, Never-married, Adm-clerical, Not-in-family, White, Male,40, United-States, <=50K, <=50K
30289,39, Private,172855, HS-grad,9, Divorced, Adm-clerical, Unmarried, Black, Female,40, United-States, <=50K, <=50K
10665,44, State-gov,150755, Bachelors,13, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, <=50K, >50K
842,51, Private,146813, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, >50K, >50K
1221,48, Private,349151, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,40, United-States, <=50K, <=50K
24915,33, Private,34848, Some-college,10, Married-civ-spouse, Other-service, Husband, White, Male,40, United-States, <=50K, <=50K
5358,19, Local-gov,169853, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,40, United-States, <=50K, <=50K
32510,37, Private,179137, Some-college,10, Divorced, Adm-clerical, Unmarried, White, Female,39, United-States, <=50K, <=50K
24253,29, Private,119429, HS-grad,9, Never-married, Craft-repair, Not-in-family, Black, Male,40, United-States, <=50K, <=50K
7089,45, Private,112305, Some-college,10, Divorced, Other-service, Unmarried, Black, Female,40, United-States, <=50K, <=50K
13181,32, Private,127610, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,32, United-States, >50K, >50K
26899,22, Private,190916, Some-college,10, Never-married, Tech-support, Own-child, White, Female,40, United-States, <=50K, <=50K
30427,38, Private,111377, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,55, United-States, <=50K, >50K
23506,29, Private,49087, Assoc-voc,11, Married-civ-spouse, Handlers-cleaners, Husband, White, Male,40, United-States, <=50K, <=50K
9194,47,ffill,149700, Bachelors,13, Married-civ-spouse,ffill, Husband, White, Male,36, United-States, >50K, <=50K
17377,45, Private,320192, 1st-4th,2, Married-civ-spouse, Other-service, Wife, White, Female,40, United-States, <=50K, <=50K
29038,33, Private,117983, 10th,6, Divorced, Other-service, Unmarried, White, Female,45, United-States, <=50K, <=50K
20689,33, Private,165235, Bachelors,13, Never-married, Other-service, Not-in-family, Asian-Pac-Islander, Female,35, Thailand, <=50K, <=50K
20252,66, Private,214469, HS-grad,9, Widowed, Adm-clerical, Not-in-family, White, Female,13, United-States, <=50K, <=50K
31881,35, Local-gov,116960, Masters,14, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, >50K, >50K
4842,60, Private,225526, HS-grad,9, Separated, Sales, Not-in-family, White, Female,32, United-States, <=50K, <=50K
27012,60, Self-emp-not-inc,153356, HS-grad,9, Divorced, Sales, Not-in-family, Black, Male,55, United-States, <=50K, <=50K
26486,74,ffill,89667, Bachelors,13, Widowed,ffill, Not-in-family, Other, Female,35, United-States, <=50K, <=50K
11969,42, Local-gov,199095, Assoc-voc,11, Widowed, Prof-specialty, Unmarried, Black, Female,40, United-States, <=50K, <=50K
19848,29,ffill,153167, Some-college,10, Never-married,ffill, Own-child, Black, Female,40, United-States, <=50K, <=50K
22771,27,ffill,204074, HS-grad,9, Never-married,ffill, Not-in-family, White, Male,40, United-States, <=50K, <=50K
5676,49, Private,178749, Masters,14, Married-spouse-absent, Adm-clerical, Unmarried, White, Female,40, United-States, <=50K, <=50K
27733,55, Private,143266, Assoc-voc,11, Married-civ-spouse, Craft-repair, Husband, White, Male,50, Hungary, >50K, <=50K
7006,49, Private,215389, Bachelors,13, Married-civ-spouse, Machine-op-inspct, Husband, Black, Male,48, United-States, <=50K, >50K
29308,20, Self-emp-not-inc,54152, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Female,35, United-States, <=50K, <=50K
9621,29, Private,394927, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,40,ffill, <=50K, <=50K
23309,39, Private,103925, Bachelors,13, Married-civ-spouse, Prof-specialty, Wife, White, Female,32, United-States, >50K, >50K
24871,45, Self-emp-not-inc,275445, Bachelors,13, Divorced, Exec-managerial, Unmarried, White, Male,50, United-States, <=50K, >50K
3702,26, Private,290286, HS-grad,9, Never-married, Craft-repair, Not-in-family, Black, Male,40, United-States, <=50K, <=50K
23078,23, Private,165064, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,40, United-States, <=50K, >50K
30204,20, Private,39803, Some-college,10, Never-married, Other-service, Own-child, White, Male,36, United-States, <=50K, <=50K
27201,32, Private,106014, Some-college,10, Married-civ-spouse, Sales, Husband, White, Male,50, United-States, >50K, >50K
19574,27, Local-gov,162973, Assoc-voc,11, Never-married, Protective-serv, Not-in-family, White, Male,56, United-States, <=50K, <=50K
15887,62, Federal-gov,125155, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,38, United-States, <=50K, >50K
26530,58, Private,256274, HS-grad,9, Divorced, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K, <=50K
3388,46, Self-emp-not-inc,28281, Bachelors,13, Married-civ-spouse, Farming-fishing, Husband, White, Male,40, United-States, >50K, <=50K
3655,42, Private,378384, Prof-school,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,60, United-States, >50K, >50K
17946,27, Private,132963, HS-grad,9, Married-civ-spouse, Handlers-cleaners, Husband, Black, Male,40, United-States, <=50K, <=50K
21801,82,ffill,194590, Assoc-voc,11, Widowed,ffill, Not-in-family, White, Female,8, United-States, <=50K, <=50K
11368,63, Private,203783, HS-grad,9, Divorced, Prof-specialty, Not-in-family, White, Female,72, United-States, <=50K, <=50K
8502,49, Private,128736, Bachelors,13, Never-married, Prof-specialty, Unmarried, White, Female,40, United-States, <=50K, <=50K
13709,37, Private,190987, Some-college,10, Married-civ-spouse, Sales, Wife, White, Female,40, United-States, >50K, <=50K
31204,37, Private,298539, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,55, United-States, >50K, >50K
23292,32, State-gov,77723, Bachelors,13, Divorced, Exec-managerial, Not-in-family, Asian-Pac-Islander, Female,40, United-States, <=50K, <=50K
27020,37, Private,169426, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,60, United-States, >50K, <=50K
26873,53, Self-emp-not-inc,105478, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, >50K, >50K
11141,52, Private,180881, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,40, United-States, <=50K, >50K
5495,53, Federal-gov,276868, Masters,14, Married-civ-spouse, Adm-clerical, Husband, White, Male,40, United-States, >50K, >50K
147,36, Private,108293, HS-grad,9, Widowed, Other-service, Unmarried, White, Female,24, United-States, <=50K, <=50K
22884,48, Private,165267, 10th,6, Married-civ-spouse, Farming-fishing, Husband, Black, Male,40, United-States, <=50K, <=50K
16923,26, Private,188626, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,48, United-States, <=50K, <=50K
29636,55, Private,184882, Assoc-voc,11, Married-civ-spouse, Transport-moving, Husband, White, Male,50, United-States, >50K, <=50K
13406,57, State-gov,25045, Bachelors,13, Divorced, Adm-clerical, Unmarried, White, Male,37, United-States, <=50K, <=50K
17856,20, Private,283969, Some-college,10, Never-married, Handlers-cleaners, Other-relative, White, Male,15, United-States, <=50K, <=50K
32163,52, Self-emp-not-inc,283079, HS-grad,9, Never-married, Prof-specialty, Not-in-family, White, Male,50, United-States, <=50K, <=50K
24575,32, State-gov,119033, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, White, Male,40, United-States, >50K, <=50K
21616,30, Private,251120, Assoc-acdm,12, Never-married, Sales, Not-in-family, White, Male,40, England, <=50K, <=50K
12210,50,ffill,346014, 7th-8th,4, Separated,ffill, Own-child, White, Female,20, United-States, <=50K, <=50K
16635,22, Private,162343, Some-college,10, Never-married, Adm-clerical, Other-relative, Black, Male,22, United-States, <=50K, <=50K
28528,28, Private,156300, Masters,14, Never-married, Exec-managerial, Not-in-family, Black, Female,45, United-States, <=50K, <=50K
14657,55, Private,144071, 11th,7, Married-civ-spouse, Exec-managerial, Husband, White, Male,45, United-States, <=50K, <=50K
21533,25, Self-emp-not-inc,113948, Assoc-voc,11, Married-civ-spouse, Other-service, Wife, White, Female,45, United-States, <=50K, <=50K
15593,31, Private,234387, HS-grad,9, Divorced, Exec-managerial, Unmarried, Black, Female,40, United-States, <=50K, <=50K
11479,38, Private,168055, Assoc-voc,11, Married-civ-spouse, Other-service, Husband, White, Male,40, United-States, <=50K, <=50K
11714,44, Private,171424, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,40, United-States, >50K, >50K
18368,21, Private,57951, Some-college,10, Never-married, Other-service, Own-child, White, Female,30, United-States, <=50K, <=50K
16048,42, State-gov,160369, HS-grad,9, Never-married, Protective-serv, Not-in-family, White, Male,40, United-States, >50K, <=50K
29573,81, Self-emp-not-inc,193237, 1st-4th,2, Widowed, Sales, Other-relative, White, Male,45, Mexico, <=50K, <=50K
26631,31, Private,253354, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,50, United-States, <=50K, >50K
10838,50, Private,162632, HS-grad,9, Married-civ-spouse, Craft-repair, Husband, White, Male,2, United-States, <=50K, <=50K
13921,43, Private,270522, HS-grad,9, Separated, Other-service, Not-in-family, White, Female,26, United-States, <=50K, <=50K
15070,20, Private,184678, HS-grad,9, Never-married, Sales, Not-in-family, White, Female,32, United-States, <=50K, <=50K
1074,17, Private,220384, 11th,7, Never-married, Adm-clerical, Own-child, White, Male,15, United-States, <=50K, <=50K
25255,78,ffill,74795, Assoc-acdm,12, Widowed,ffill, Not-in-family, White, Female,4, United-States, <=50K, <=50K
9744,24, Private,194604, Bachelors,13, Never-married, Sales, Own-child, White, Female,15, United-States, <=50K, <=50K
18273,65, Private,129426, Some-college,10, Widowed, Adm-clerical, Not-in-family, White, Female,40, United-States, <=50K, <=50K
11145,20, Private,172047, Some-college,10, Never-married, Farming-fishing, Own-child, White, Male,10, United-States, <=50K, <=50K
31575,49, Local-gov,343231, Masters,14, Never-married, Prof-specialty, Not-in-family, White, Female,80, United-States, <=50K, <=50K
19034,30, Private,366065, Some-college,10, Never-married, Craft-repair, Unmarried, Black, Male,40, United-States, <=50K, <=50K
23976,62, Private,345780, Assoc-voc,11, Divorced, Other-service, Not-in-family, White, Male,40, United-States, <=50K, <=50K
